sequence_id,dataset,action_label,risk_level,mean_torso_inclination,std_torso_inclination,knee_hip_drop_ratio,ankle_motion,mean_body_height,std_body_height_norm,mean_joint_speed,std_hip_y,posture
S005C001P013R001A009,NTU,stand_up,low_risk,9.1287,9.2791,0.1504,0.006,4.8725,0.1687,0.0303,0.0562,Standing
S005C001P013R001A042,NTU,staggering,moderate_risk,7.28,4.468,0.2449,0.0078,5.8007,0.019,0.0421,0.0207,Walking
S005C001P013R001A043,NTU,falling_down,high_risk,36.0417,28.0466,0.1908,0.0122,4.5137,0.3,0.0489,0.2795,Lying
S005C001P013R002A008,NTU,sit_down,low_risk,5.7248,5.0131,0.1591,0.0072,4.9588,0.1657,0.0348,0.0981,Sitting
S005C001P013R002A009,NTU,stand_up,low_risk,2.936,2.7561,0.1762,0.0047,5.3758,0.1549,0.0292,0.0447,Standing
S005C001P013R002A042,NTU,staggering,moderate_risk,9.8396,8.4661,0.24,0.0075,5.93,0.0252,0.0569,0.0535,Walking
S005C001P013R002A043,NTU,falling_down,high_risk,21.3655,20.7488,0.1919,0.0163,4.8097,0.2473,0.0546,0.2234,Lying
S005C001P015R001A008,NTU,sit_down,low_risk,4.3653,3.2471,0.1671,0.0065,5.0914,0.1013,0.0396,0.0388,Sitting
S005C001P015R001A009,NTU,stand_up,low_risk,8.9957,9.2698,0.1365,0.0058,4.9139,0.1199,0.0316,0.0855,Standing
S005C001P015R001A042,NTU,staggering,moderate_risk,3.9017,1.9681,0.231,0.0077,5.7495,0.0292,0.0439,0.0164,Walking
S005C001P015R001A043,NTU,falling_down,high_risk,17.924,12.7556,0.1966,0.0122,4.6995,0.3056,0.0467,0.1435,Lying
S005C001P015R002A008,NTU,sit_down,low_risk,7.3236,4.619,0.1778,0.0046,4.8592,0.1158,0.028,0.0421,Sitting
S005C001P015R002A009,NTU,stand_up,low_risk,9.2444,5.7336,0.1403,0.0047,4.5538,0.1195,0.0229,0.05,Standing
S005C001P015R002A042,NTU,staggering,moderate_risk,5.8756,14.4329,0.2277,0.0295,5.4369,0.3496,0.2014,0.3695,Walking
S005C001P015R002A043,NTU,falling_down,high_risk,10.483,9.0346,0.1928,0.0139,4.2364,0.3115,0.0653,0.1254,Lying
S005C001P016R001A008,NTU,sit_down,low_risk,13.6482,13.397,0.1735,0.0115,4.7209,0.1536,0.0706,0.1,Sitting
S005C001P016R001A009,NTU,stand_up,low_risk,16.1126,17.2815,0.1479,0.0158,4.9822,0.1474,0.0601,0.1234,Standing
S005C001P016R001A042,NTU,staggering,moderate_risk,3.1699,2.0268,0.2582,0.0113,5.8957,0.0477,0.0583,0.0321,Walking
S005C001P016R001A043,NTU,falling_down,high_risk,10.3382,8.2392,0.1879,0.0112,4.8508,0.2306,0.0449,0.053,Lying
S005C001P016R002A008,NTU,sit_down,low_risk,17.3002,15.8857,0.1884,0.0129,4.7317,0.1475,0.0633,0.1297,Sitting
S005C001P016R002A009,NTU,stand_up,low_risk,7.8751,5.253,0.1667,0.0122,5.0297,0.1643,0.0554,0.0396,Standing
S005C001P016R002A042,NTU,staggering,moderate_risk,3.9918,10.2919,0.2492,0.0388,5.9388,0.6249,0.2793,0.6014,Walking
S005C001P016R002A043,NTU,falling_down,high_risk,3.3878,2.4494,0.1714,0.0075,4.7794,0.1931,0.0337,0.1701,Lying
S005C001P017R001A008,NTU,sit_down,low_risk,7.7441,7.6918,0.1443,0.0164,4.8277,0.1095,0.072,0.0717,Sitting
S005C001P017R001A009,NTU,stand_up,low_risk,10.4682,9.3504,0.1033,0.0096,4.8652,0.1049,0.0497,0.0422,Standing
S005C001P017R001A042,NTU,staggering,moderate_risk,2.9605,1.419,0.2514,0.011,5.9102,0.0204,0.067,0.0285,Walking
S005C001P017R001A043,NTU,falling_down,high_risk,12.5698,11.7887,0.1967,0.0129,5.415,0.1865,0.0471,0.153,Lying
S005C001P017R002A008,NTU,sit_down,low_risk,5.3537,1.8935,0.1452,0.0117,4.7641,0.115,0.0546,0.0241,Sitting
S005C001P017R002A009,NTU,stand_up,low_risk,5.9793,4.801,0.1266,0.007,4.9152,0.1269,0.0379,0.0476,Standing
S005C001P017R002A042,NTU,staggering,moderate_risk,2.9161,2.1412,0.2255,0.0107,5.7007,0.0159,0.0659,0.0164,Walking
S005C001P017R002A043,NTU,falling_down,high_risk,21.2055,19.8214,0.1938,0.0125,4.9065,0.2161,0.059,0.2018,Lying
S005C001P018R001A008,NTU,sit_down,low_risk,6.703,5.9688,0.1839,0.0068,5.4928,0.1116,0.0348,0.0342,Sitting
S005C001P018R001A009,NTU,stand_up,low_risk,5.2522,4.1342,0.1835,0.0055,5.6022,0.1145,0.0312,0.0262,Standing
S005C001P018R001A042,NTU,staggering,moderate_risk,3.3751,2.1666,0.2492,0.0098,5.989,0.0379,0.0456,0.0274,Walking
S005C001P018R001A043,NTU,falling_down,high_risk,15.5165,9.6975,0.1779,0.0189,4.9727,0.2157,0.0636,0.1147,Lying
S005C001P018R002A008,NTU,sit_down,low_risk,6.6559,6.8281,0.1964,0.0049,6.0127,0.1137,0.0333,0.0394,Sitting
S005C001P018R002A009,NTU,stand_up,low_risk,4.5202,3.7644,0.191,0.0044,6.0363,0.1106,0.0229,0.0269,Standing
S005C001P018R002A042,NTU,staggering,moderate_risk,1.6586,1.2743,0.234,0.0068,5.9451,0.0274,0.0368,0.0161,Walking
S005C001P018R002A043,NTU,falling_down,high_risk,11.9131,7.2835,0.1442,0.0129,4.4792,0.2798,0.0444,0.1402,Lying
S005C001P021R001A008,NTU,sit_down,low_risk,8.5004,4.6621,0.1962,0.008,5.4438,0.1149,0.0395,0.0793,Sitting
S005C001P021R001A009,NTU,stand_up,low_risk,13.2819,11.3621,0.1588,0.0088,5.0112,0.1491,0.0419,0.1251,Standing
S005C001P021R001A042,NTU,staggering,moderate_risk,4.7576,3.1393,0.2563,0.0097,6.0706,0.0245,0.0544,0.0264,Walking
S005C001P021R001A043,NTU,falling_down,high_risk,44.3331,35.7175,0.3429,0.0174,5.1571,0.1962,0.0751,0.4193,Lying
S005C001P021R002A008,NTU,sit_down,low_risk,9.5507,11.54,0.226,0.012,5.5791,0.1972,0.0864,0.2017,Sitting
S005C001P021R002A009,NTU,stand_up,low_risk,7.0911,5.2524,0.1925,0.0053,5.4843,0.1665,0.0368,0.1369,Standing
S005C001P021R002A042,NTU,staggering,moderate_risk,6.4808,4.7438,0.2398,0.0101,5.7173,0.0305,0.0574,0.0446,Walking
S005C001P021R002A043,NTU,falling_down,high_risk,36.108,35.4796,0.3003,0.0178,5.3769,0.0771,0.0693,0.396,Lying
S005C002P004R001A008,NTU,sit_down,low_risk,9.1861,7.5826,0.1799,0.0154,4.6314,0.182,0.0657,0.0715,Sitting
S005C002P004R001A009,NTU,stand_up,low_risk,7.7161,7.4829,0.1692,0.0162,4.7512,0.1868,0.0642,0.1146,Standing
S005C002P004R001A042,NTU,staggering,moderate_risk,14.7459,5.4495,0.2607,0.0093,4.8856,0.0525,0.0359,0.0213,Walking
S005C002P004R001A043,NTU,falling_down,high_risk,25.8836,15.0752,0.223,0.011,4.0525,0.2921,0.0355,0.162,Lying
S005C002P004R002A008,NTU,sit_down,low_risk,0.8783,0.6249,0.1281,0.004,4.7887,0.1459,0.0248,0.0412,Sitting
S005C002P004R002A009,NTU,stand_up,low_risk,1.2562,0.7353,0.1411,0.0039,5.2199,0.1647,0.0273,0.0406,Standing
S005C002P004R002A042,NTU,staggering,moderate_risk,4.5257,4.2824,0.2053,0.0173,5.3559,0.0542,0.0694,0.0289,Walking
S005C002P004R002A043,NTU,falling_down,high_risk,23.3445,27.5726,0.2184,0.0138,5.2412,0.1385,0.0467,0.2895,Lying
S005C002P010R001A008,NTU,sit_down,low_risk,26.5346,20.6893,0.2953,0.0163,6.0447,0.1864,0.0754,0.1921,Sitting
S005C002P010R001A009,NTU,stand_up,low_risk,9.0423,3.955,0.2249,0.0116,6.5258,0.1774,0.053,0.084,Standing
S005C002P010R001A042,NTU,staggering,moderate_risk,17.1785,6.7059,0.2395,0.0256,5.7868,0.0658,0.0841,0.0541,Walking
S005C002P010R001A043,NTU,falling_down,high_risk,26.3555,14.5233,0.2244,0.0284,5.4501,0.2389,0.0869,0.143,Lying
S005C002P010R002A008,NTU,sit_down,low_risk,6.3354,4.5888,0.1872,0.0063,4.7758,0.1755,0.0374,0.157,Sitting
S005C002P010R002A009,NTU,stand_up,low_risk,2.3856,2.7357,0.1297,0.0048,4.672,0.1772,0.0233,0.0429,Standing
S005C002P010R002A042,NTU,staggering,moderate_risk,5.0865,3.2329,0.2158,0.0111,5.3391,0.0332,0.0509,0.0301,Walking
S005C002P010R002A043,NTU,falling_down,high_risk,6.0688,4.341,0.1958,0.0095,3.9282,0.2782,0.0417,0.1743,Lying
S005C002P013R001A008,NTU,sit_down,low_risk,24.1204,19.5737,0.1829,0.018,3.9417,0.2141,0.0644,0.1535,Sitting
S005C002P013R001A009,NTU,stand_up,low_risk,11.2762,7.8649,0.1844,0.0191,4.0301,0.2471,0.045,0.0361,Standing
S005C002P013R001A042,NTU,staggering,moderate_risk,17.8704,7.3433,0.2528,0.0076,5.6062,0.0272,0.0514,0.0557,Walking
S005C002P013R001A043,NTU,falling_down,high_risk,32.3486,19.8975,0.2349,0.015,4.2605,0.3614,0.0541,0.2245,Lying
S005C002P013R002A008,NTU,sit_down,low_risk,4.2884,3.0031,0.135,0.0062,4.5653,0.1711,0.0293,0.0481,Sitting
S005C002P013R002A009,NTU,stand_up,low_risk,2.2131,2.1632,0.17,0.004,5.096,0.1509,0.0245,0.0201,Standing
S005C002P013R002A042,NTU,staggering,moderate_risk,6.554,4.7498,0.2245,0.0042,5.8027,0.0258,0.0379,0.048,Walking
S005C002P013R002A043,NTU,falling_down,high_risk,7.2886,5.5415,0.1548,0.0094,4.3498,0.2845,0.0377,0.1918,Lying
S005C002P015R001A008,NTU,sit_down,low_risk,13.723,6.8751,0.1333,0.0113,4.7383,0.1123,0.0637,0.0432,Sitting
S005C002P015R001A009,NTU,stand_up,low_risk,15.4395,10.8676,0.1075,0.0138,4.5109,0.1263,0.0536,0.0562,Standing
S005C002P015R001A042,NTU,staggering,moderate_risk,5.1427,2.5554,0.3103,0.0105,6.046,0.0267,0.0631,0.0364,Walking
S005C002P015R001A043,NTU,falling_down,high_risk,17.8611,17.7245,0.2535,0.012,5.5857,0.2852,0.0501,0.1394,Lying
S005C002P015R002A008,NTU,sit_down,low_risk,2.6341,1.5627,0.1717,0.003,5.194,0.1112,0.0189,0.0447,Sitting
S005C002P015R002A009,NTU,stand_up,low_risk,1.3605,1.2978,0.1229,0.0031,4.9382,0.1212,0.0226,0.0504,Standing
S005C002P015R002A042,NTU,staggering,moderate_risk,3.65,1.4277,0.2032,0.0097,5.412,0.0353,0.0339,0.0127,Walking
S005C002P015R002A043,NTU,falling_down,high_risk,12.9673,16.6334,0.1564,0.0143,4.2723,0.2959,0.05,0.1698,Lying
S005C002P016R001A008,NTU,sit_down,low_risk,19.4976,19.8191,0.2778,0.0205,5.2544,0.5302,0.0854,0.4562,Sitting
S005C002P016R001A009,NTU,stand_up,low_risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Standing
S005C002P016R001A042,NTU,staggering,moderate_risk,8.9888,4.2213,0.1915,0.0139,4.7691,0.0662,0.0614,0.0296,Walking
S005C002P016R001A043,NTU,falling_down,high_risk,11.6027,5.0169,0.1629,0.0131,4.0436,0.2435,0.0431,0.0342,Lying
S005C002P016R002A008,NTU,sit_down,low_risk,5.3953,3.8898,0.1754,0.0108,4.5246,0.1591,0.0574,0.0878,Sitting
S005C002P016R002A009,NTU,stand_up,low_risk,1.9971,1.8267,0.1707,0.0073,4.8151,0.1797,0.0377,0.0283,Standing
S005C002P016R002A042,NTU,staggering,moderate_risk,1.3412,0.9054,0.218,0.017,5.5256,0.0466,0.0728,0.0085,Walking
S005C002P016R002A043,NTU,falling_down,high_risk,8.1281,9.2857,0.15,0.0061,4.5541,0.2106,0.0264,0.1084,Lying
S005C002P017R001A008,NTU,sit_down,low_risk,19.1589,13.5761,0.1719,0.0205,5.2549,0.112,0.1042,0.2714,Sitting
S005C002P017R001A009,NTU,stand_up,low_risk,5.4239,3.2541,0.1464,0.0206,4.7935,0.1589,0.0751,0.0473,Standing
S005C002P017R001A042,NTU,staggering,moderate_risk,3.4404,2.1286,0.2618,0.01,5.6867,0.0206,0.0623,0.026,Walking
S005C002P017R001A043,NTU,falling_down,high_risk,20.7896,19.9899,0.2885,0.0135,5.1673,0.1672,0.0715,0.1787,Lying
S005C002P017R002A008,NTU,sit_down,low_risk,6.0731,4.0572,0.1619,0.0106,4.8697,0.131,0.0446,0.0433,Sitting
S005C002P017R002A009,NTU,stand_up,low_risk,5.9621,4.7121,0.133,0.0065,5.0816,0.1345,0.0339,0.0709,Standing
S005C002P017R002A042,NTU,staggering,moderate_risk,3.3995,2.377,0.224,0.0091,5.7594,0.0191,0.0518,0.0097,Walking
S005C002P017R002A043,NTU,falling_down,high_risk,9.6828,7.8385,0.1507,0.0099,5.1387,0.1281,0.0468,0.1032,Lying
S005C002P018R001A008,NTU,sit_down,low_risk,10.121,6.2767,0.1453,0.0103,5.1513,0.121,0.0432,0.0548,Sitting
S005C002P018R001A009,NTU,stand_up,low_risk,8.2,3.7984,0.1599,0.0097,4.8896,0.1107,0.0347,0.0254,Standing
S005C002P018R001A042,NTU,staggering,moderate_risk,8.0465,4.2632,0.3567,0.0115,6.7118,0.0339,0.0762,0.0465,Walking
S005C002P018R001A043,NTU,falling_down,high_risk,18.7031,5.9442,0.3309,0.0179,5.0107,0.2888,0.0546,0.0759,Lying
S005C002P018R002A008,NTU,sit_down,low_risk,2.1443,2.0349,0.1374,0.0032,5.232,0.1092,0.0195,0.0436,Sitting
S005C002P018R002A009,NTU,stand_up,low_risk,1.8369,0.9961,0.1338,0.0033,5.2606,0.1045,0.0186,0.0212,Standing
S005C002P018R002A042,NTU,staggering,moderate_risk,2.9917,1.3188,0.2278,0.0063,5.8755,0.0266,0.0315,0.0101,Walking
S005C002P018R002A043,NTU,falling_down,high_risk,5.0786,5.3123,0.1366,0.009,4.336,0.2614,0.0301,0.0796,Lying
S005C002P021R001A008,NTU,sit_down,low_risk,10.3311,10.2138,0.1785,0.0121,5.3455,0.1292,0.0452,0.081,Sitting
S005C002P021R001A009,NTU,stand_up,low_risk,18.5951,10.0074,0.1672,0.0151,4.5253,0.2017,0.0616,0.0758,Standing
S005C002P021R001A042,NTU,staggering,moderate_risk,9.4264,5.2544,0.3056,0.0104,5.4613,0.0226,0.0563,0.02,Walking
S005C002P021R001A043,NTU,falling_down,high_risk,47.9404,33.5773,0.3735,0.0245,4.8519,0.1459,0.0868,0.3684,Lying
S005C002P021R002A008,NTU,sit_down,low_risk,7.6308,6.3221,0.1965,0.0158,4.682,0.1928,0.0662,0.1557,Sitting
S005C002P021R002A009,NTU,stand_up,low_risk,2.0569,1.3062,0.1646,0.0069,4.764,0.1587,0.0351,0.1034,Standing
S005C002P021R002A042,NTU,staggering,moderate_risk,2.799,2.1617,0.2968,0.0111,5.5639,0.0192,0.0504,0.02,Walking
S005C002P021R002A043,NTU,falling_down,high_risk,27.5442,29.1319,0.3449,0.0204,5.3316,0.0935,0.0626,0.3191,Lying
S005C003P004R001A008,NTU,sit_down,low_risk,2.5081,2.2247,0.1504,0.0039,4.9692,0.136,0.0217,0.0557,Sitting
S005C003P004R001A009,NTU,stand_up,low_risk,3.1102,2.3678,0.1202,0.0039,4.8117,0.1466,0.0224,0.0468,Standing
S005C003P004R001A042,NTU,staggering,moderate_risk,3.4145,3.1659,0.2308,0.0094,5.4806,0.0489,0.037,0.0275,Walking
S005C003P004R001A043,NTU,falling_down,high_risk,15.1778,15.4332,0.2038,0.0159,4.3844,0.2828,0.063,0.2351,Lying
S005C003P004R002A008,NTU,sit_down,low_risk,6.9108,7.3147,0.1488,0.0091,4.5716,0.1441,0.0394,0.0322,Sitting
S005C003P004R002A009,NTU,stand_up,low_risk,10.8501,10.4586,0.1309,0.0088,4.4769,0.1546,0.0442,0.0498,Standing
S005C003P004R002A042,NTU,staggering,moderate_risk,13.2835,9.403,0.2389,0.0135,5.1251,0.0541,0.0742,0.0401,Walking
S005C003P004R002A043,NTU,falling_down,high_risk,15.0617,14.8954,0.2285,0.0099,4.9945,0.2535,0.057,0.1715,Lying
S005C003P010R001A008,NTU,sit_down,low_risk,10.4145,9.2692,0.171,0.0078,4.8579,0.1899,0.0577,0.2205,Sitting
S005C003P010R001A009,NTU,stand_up,low_risk,3.2832,2.4212,0.1522,0.0041,5.1359,0.1711,0.0222,0.0894,Standing
S005C003P010R001A042,NTU,staggering,moderate_risk,6.2096,4.233,0.2308,0.0124,5.6865,0.0291,0.0552,0.0322,Walking
S005C003P010R001A043,NTU,falling_down,high_risk,3.6377,2.7698,0.2013,0.0132,4.721,0.2272,0.061,0.1134,Lying
S005C003P010R002A008,NTU,sit_down,low_risk,10.5521,10.1798,0.1761,0.0156,4.0057,0.2209,0.0605,0.0751,Sitting
S005C003P010R002A009,NTU,stand_up,low_risk,16.0748,11.4925,0.1153,0.009,4.2,0.2391,0.0463,0.1059,Standing
S005C003P010R002A042,NTU,staggering,moderate_risk,12.992,8.9012,0.2366,0.0164,5.5022,0.0186,0.0783,0.0301,Walking
S005C003P010R002A043,NTU,falling_down,high_risk,26.4485,12.2422,0.2402,0.0172,4.4242,0.2628,0.0644,0.1145,Lying
S005C003P013R001A008,NTU,sit_down,low_risk,10.3195,8.3844,0.1482,0.0103,4.2773,0.2071,0.0544,0.1111,Sitting
S005C003P013R001A009,NTU,stand_up,low_risk,5.993,2.8146,0.1458,0.0051,4.9853,0.166,0.0295,0.0742,Standing
S005C003P013R001A042,NTU,staggering,moderate_risk,9.5198,5.6805,0.2282,0.0045,5.7962,0.0188,0.0372,0.0236,Walking
S005C003P013R001A043,NTU,falling_down,high_risk,13.0724,11.1619,0.2001,0.0066,4.5049,0.256,0.0419,0.2503,Lying
S005C003P013R002A008,NTU,sit_down,low_risk,12.0522,9.4058,0.134,0.012,4.9871,0.1544,0.0508,0.0526,Sitting
S005C003P013R002A009,NTU,stand_up,low_risk,10.9043,10.887,0.1557,0.0111,4.9203,0.1381,0.05,0.0943,Standing
S005C003P013R002A042,NTU,staggering,moderate_risk,14.4315,10.5501,0.2427,0.0091,5.1514,0.0181,0.0515,0.0619,Walking
S005C003P013R002A043,NTU,falling_down,high_risk,20.747,12.6536,0.2761,0.0138,5.0751,0.0919,0.0412,0.13,Lying
S005C003P015R001A008,NTU,sit_down,low_risk,5.5135,5.491,0.1463,0.0049,4.9246,0.1053,0.0333,0.0568,Sitting
S005C003P015R001A009,NTU,stand_up,low_risk,8.8631,7.0706,0.1378,0.0039,4.9347,0.1219,0.0252,0.1053,Standing
S005C003P015R001A042,NTU,staggering,moderate_risk,2.9292,2.0587,0.2206,0.007,5.6153,0.0274,0.0387,0.0194,Walking
S005C003P015R001A043,NTU,falling_down,high_risk,4.4674,5.2487,0.1719,0.0125,4.3461,0.2954,0.0393,0.1686,Lying
S005C003P015R002A008,NTU,sit_down,low_risk,8.703,5.4054,0.164,0.0136,4.3706,0.1237,0.0336,0.0238,Sitting
S005C003P015R002A009,NTU,stand_up,low_risk,13.337,9.1582,0.1117,0.0115,4.5204,0.1302,0.0368,0.0694,Standing
S005C003P015R002A042,NTU,staggering,moderate_risk,9.3788,3.3986,0.2532,0.0104,5.5937,0.0405,0.0518,0.0404,Walking
S005C003P015R002A043,NTU,falling_down,high_risk,17.3045,10.4928,0.2618,0.0114,4.6922,0.2332,0.0499,0.1043,Lying
S005C003P016R001A008,NTU,sit_down,low_risk,5.9289,4.0774,0.1506,0.0085,4.5419,0.141,0.0589,0.0526,Sitting
S005C003P016R001A009,NTU,stand_up,low_risk,2.7321,2.7529,0.1831,0.0068,5.1825,0.1507,0.0446,0.1473,Standing
S005C003P016R001A042,NTU,staggering,moderate_risk,2.2212,1.6561,0.2222,0.0081,5.5175,0.0417,0.0458,0.0103,Walking
S005C003P016R001A043,NTU,falling_down,high_risk,4.4431,4.56,0.1654,0.0076,4.8775,0.1711,0.0267,0.1117,Lying
S005C003P016R002A008,NTU,sit_down,low_risk,14.9623,14.4922,0.1916,0.033,4.0828,0.5539,0.11,0.4593,Sitting
S005C003P016R002A009,NTU,stand_up,low_risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Standing
S005C003P016R002A042,NTU,staggering,moderate_risk,8.3317,4.4363,0.2289,0.017,5.413,0.0334,0.1006,0.0249,Walking
S005C003P016R002A043,NTU,falling_down,high_risk,12.3385,11.6979,0.1635,0.0207,4.6413,0.2296,0.0636,0.0993,Lying
S005C003P017R001A008,NTU,sit_down,low_risk,2.4338,1.9654,0.1536,0.0083,4.9951,0.1242,0.0457,0.0423,Sitting
S005C003P017R001A009,NTU,stand_up,low_risk,3.4722,2.1919,0.1367,0.0079,5.0087,0.118,0.0447,0.0351,Standing
S005C003P017R001A042,NTU,staggering,moderate_risk,2.5894,1.9621,0.2297,0.008,5.7299,0.0147,0.0439,0.0123,Walking
S005C003P017R001A043,NTU,falling_down,high_risk,7.1009,6.9736,0.1831,0.0085,4.9626,0.1886,0.0383,0.1261,Lying
S005C003P017R002A008,NTU,sit_down,low_risk,8.8773,5.74,0.1947,0.0202,5.132,0.1744,0.0974,0.0539,Sitting
S005C003P017R002A009,NTU,stand_up,low_risk,23.0585,25.1141,0.1602,0.0481,4.7548,0.1479,0.1861,0.3367,Standing
S005C003P017R002A042,NTU,staggering,moderate_risk,4.7196,3.2398,0.2631,0.0226,5.8249,0.0707,0.1352,0.1366,Walking
S005C003P017R002A043,NTU,falling_down,high_risk,20.3422,15.7044,0.2423,0.0114,5.1962,0.1897,0.0755,0.1382,Lying
S005C003P018R001A008,NTU,sit_down,low_risk,4.399,2.5006,0.1456,0.0041,5.0812,0.1199,0.0304,0.0632,Sitting
S005C003P018R001A009,NTU,stand_up,low_risk,4.487,2.6238,0.1526,0.0038,5.2827,0.1149,0.0249,0.0383,Standing
S005C003P018R001A042,NTU,staggering,moderate_risk,2.2168,1.6056,0.2292,0.007,5.8049,0.0348,0.0355,0.0203,Walking
S005C003P018R001A043,NTU,falling_down,high_risk,4.807,4.3853,0.1523,0.0113,4.0589,0.3364,0.0353,0.1511,Lying
S005C003P018R002A008,NTU,sit_down,low_risk,8.2288,6.7293,0.2303,0.0099,6.236,0.0928,0.036,0.0807,Sitting
S005C003P018R002A009,NTU,stand_up,low_risk,8.6884,6.7787,0.1982,0.0072,5.7715,0.1055,0.031,0.0467,Standing
S005C003P018R002A042,NTU,staggering,moderate_risk,8.8727,3.0972,0.2749,0.0099,5.4856,0.0309,0.0459,0.0209,Walking
S005C003P018R002A043,NTU,falling_down,high_risk,16.2222,10.6994,0.2146,0.0114,4.7085,0.2089,0.044,0.1009,Lying
S005C003P021R001A008,NTU,sit_down,low_risk,5.4208,4.5636,0.1989,0.0048,5.4469,0.1223,0.0355,0.1052,Sitting
S005C003P021R001A009,NTU,stand_up,low_risk,10.8518,5.694,0.1653,0.0076,4.934,0.1512,0.0446,0.1551,Standing
S005C003P021R001A042,NTU,staggering,moderate_risk,2.4775,1.8801,0.2374,0.0099,5.4936,0.0251,0.0465,0.0165,Walking
S005C003P021R001A043,NTU,falling_down,high_risk,11.1676,8.8035,0.2794,0.0136,4.165,0.2664,0.0699,0.3015,Lying
S005C003P021R002A008,NTU,sit_down,low_risk,21.9338,19.8401,0.2095,0.0191,4.906,0.1972,0.0674,0.1665,Sitting
S005C003P021R002A009,NTU,stand_up,low_risk,7.5725,5.9641,0.1677,0.0214,4.591,0.2432,0.0799,0.0667,Standing
S005C003P021R002A042,NTU,staggering,moderate_risk,10.9631,8.5715,0.2674,0.0148,5.7276,0.0416,0.0706,0.031,Walking
S005C003P021R002A043,NTU,falling_down,high_risk,16.1745,14.6134,0.269,0.0211,4.9951,0.26,0.1008,0.1152,Lying
S006C001P001R001A008,NTU,sit_down,low_risk,6.0775,3.3146,0.1507,0.0092,5.3599,0.1042,0.0559,0.0541,Sitting
S006C001P001R001A009,NTU,stand_up,low_risk,13.3861,7.6473,0.1395,0.0056,5.1556,0.1491,0.0286,0.0678,Standing
S006C001P001R001A042,NTU,staggering,moderate_risk,4.599,2.0753,0.1939,0.0138,5.3868,0.0703,0.063,0.026,Walking
S006C001P001R001A043,NTU,falling_down,high_risk,7.5867,4.4375,0.2056,0.0113,4.6446,0.276,0.0416,0.0862,Lying
S006C001P001R002A008,NTU,sit_down,low_risk,8.9948,4.6423,0.147,0.007,5.0349,0.1282,0.0449,0.0383,Sitting
S006C001P001R002A009,NTU,stand_up,low_risk,14.9103,7.9676,0.1062,0.0065,4.8902,0.1416,0.0382,0.0806,Standing
S006C001P001R002A042,NTU,staggering,moderate_risk,4.3581,4.581,0.2114,0.0087,5.292,0.0571,0.0576,0.0409,Walking
S006C001P001R002A043,NTU,falling_down,high_risk,18.2786,19.4359,0.1667,0.0114,4.737,0.2541,0.0398,0.1962,Lying
S006C001P007R001A008,NTU,sit_down,low_risk,11.0334,6.0195,0.1611,0.0142,5.2718,0.1395,0.0634,0.0435,Sitting
S006C001P007R001A009,NTU,stand_up,low_risk,5.8761,3.8883,0.1951,0.0094,5.4262,0.1763,0.0499,0.0271,Standing
S006C001P007R001A042,NTU,staggering,moderate_risk,12.3494,7.996,0.2361,0.0151,5.7008,0.0987,0.0879,0.0602,Walking
S006C001P007R001A043,NTU,falling_down,high_risk,17.1332,14.9329,0.2846,0.0198,4.662,0.257,0.0781,0.1189,Lying
S006C001P007R002A008,NTU,sit_down,low_risk,5.2077,5.0211,0.1508,0.0134,5.1076,0.1435,0.048,0.0294,Sitting
S006C001P007R002A009,NTU,stand_up,low_risk,10.0591,9.7565,0.175,0.0135,4.661,0.2411,0.0664,0.0312,Standing
S006C001P007R002A042,NTU,staggering,moderate_risk,10.0527,8.7605,0.2372,0.0043,5.6306,0.0407,0.0396,0.0288,Walking
S006C001P007R002A043,NTU,falling_down,high_risk,7.3306,6.8904,0.1779,0.0111,4.773,0.2958,0.0748,0.1627,Lying
S006C001P008R001A008,NTU,sit_down,low_risk,7.5181,6.0432,0.1706,0.0119,4.8682,0.214,0.0711,0.0839,Sitting
S006C001P008R001A009,NTU,stand_up,low_risk,11.0978,11.7755,0.1364,0.0062,5.1901,0.166,0.0317,0.0822,Standing
S006C001P008R001A042,NTU,staggering,moderate_risk,15.3723,10.5778,0.2799,0.0168,6.1992,0.0562,0.1174,0.0837,Walking
S006C001P008R001A043,NTU,falling_down,high_risk,8.2647,9.4251,0.2957,0.0067,5.6298,0.1916,0.0519,0.2863,Lying
S006C001P008R002A008,NTU,sit_down,low_risk,6.8465,5.4131,0.1602,0.0144,4.7245,0.2428,0.0888,0.0979,Sitting
S006C001P008R002A009,NTU,stand_up,low_risk,9.1233,9.2234,0.1617,0.0059,5.7679,0.1795,0.0412,0.1184,Standing
S006C001P008R002A042,NTU,staggering,moderate_risk,15.171,13.3163,0.2345,0.0206,5.0952,0.1114,0.1302,0.1279,Walking
S006C001P008R002A043,NTU,falling_down,high_risk,44.2563,31.9228,0.2434,0.0186,4.1965,0.3407,0.0522,0.3529,Lying
S006C001P015R001A008,NTU,sit_down,low_risk,9.3903,3.8859,0.1411,0.0131,5.2243,0.1652,0.0599,0.0273,Sitting
S006C001P015R001A009,NTU,stand_up,low_risk,12.5593,7.9627,0.1074,0.0091,4.7214,0.1379,0.0381,0.0601,Standing
S006C001P015R001A042,NTU,staggering,moderate_risk,4.4985,2.4206,0.2593,0.0157,6.2324,0.0303,0.0927,0.0212,Walking
