sequence_id,dataset,action_code,label,risk_level,frame_count,joint_count,coordinate_count,pose_shape,pose_array_path
S006C001P022R002A042,NTU,A042,staggering,moderate_risk,131,25,3,"(131, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C001P022R002A042.npy
S006C001P022R002A043,NTU,A043,falling_down,high_risk,84,25,3,"(84, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C001P022R002A043.npy
S006C001P023R001A008,NTU,A008,sit_down,low_risk,81,25,3,"(81, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C001P023R001A008.npy
S006C001P023R001A009,NTU,A009,stand_up,low_risk,77,25,3,"(77, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C001P023R001A009.npy
S006C001P023R001A042,NTU,A042,staggering,moderate_risk,95,25,3,"(95, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C001P023R001A042.npy
S006C001P023R001A043,NTU,A043,falling_down,high_risk,69,25,3,"(69, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C001P023R001A043.npy
S006C001P023R002A008,NTU,A008,sit_down,low_risk,59,25,3,"(59, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C001P023R002A008.npy
S006C001P023R002A009,NTU,A009,stand_up,low_risk,69,25,3,"(69, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C001P023R002A009.npy
S006C001P023R002A042,NTU,A042,staggering,moderate_risk,88,25,3,"(88, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C001P023R002A042.npy
S006C001P023R002A043,NTU,A043,falling_down,high_risk,72,25,3,"(72, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C001P023R002A043.npy
S006C001P024R001A008,NTU,A008,sit_down,low_risk,68,25,3,"(68, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C001P024R001A008.npy
S006C001P024R001A009,NTU,A009,stand_up,low_risk,61,25,3,"(61, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C001P024R001A009.npy
S006C001P024R001A042,NTU,A042,staggering,moderate_risk,90,25,3,"(90, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C001P024R001A042.npy
S006C001P024R001A043,NTU,A043,falling_down,high_risk,82,25,3,"(82, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C001P024R001A043.npy
S006C001P024R002A008,NTU,A008,sit_down,low_risk,77,25,3,"(77, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C001P024R002A008.npy
S006C001P024R002A009,NTU,A009,stand_up,low_risk,66,25,3,"(66, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C001P024R002A009.npy
S006C001P024R002A042,NTU,A042,staggering,moderate_risk,85,25,3,"(85, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C001P024R002A042.npy
S006C001P024R002A043,NTU,A043,falling_down,high_risk,86,25,3,"(86, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C001P024R002A043.npy
S006C002P001R001A008,NTU,A008,sit_down,low_risk,68,25,3,"(68, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C002P001R001A008.npy
S006C002P001R001A009,NTU,A009,stand_up,low_risk,51,25,3,"(51, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C002P001R001A009.npy
S006C002P001R001A042,NTU,A042,staggering,moderate_risk,102,25,3,"(102, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C002P001R001A042.npy
S006C002P001R001A043,NTU,A043,falling_down,high_risk,50,25,3,"(50, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C002P001R001A043.npy
S006C002P001R002A008,NTU,A008,sit_down,low_risk,69,25,3,"(69, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C002P001R002A008.npy
S006C002P001R002A009,NTU,A009,stand_up,low_risk,48,25,3,"(48, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C002P001R002A009.npy
S006C002P001R002A042,NTU,A042,staggering,moderate_risk,104,25,3,"(104, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C002P001R002A042.npy
S006C002P001R002A043,NTU,A043,falling_down,high_risk,46,25,3,"(46, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C002P001R002A043.npy
S006C002P007R001A008,NTU,A008,sit_down,low_risk,82,25,3,"(82, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C002P007R001A008.npy
S006C002P007R001A009,NTU,A009,stand_up,low_risk,78,25,3,"(78, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C002P007R001A009.npy
S006C002P007R001A042,NTU,A042,staggering,moderate_risk,99,25,3,"(99, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C002P007R001A042.npy
S006C002P007R001A043,NTU,A043,falling_down,high_risk,79,25,3,"(79, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C002P007R001A043.npy
S006C002P007R002A008,NTU,A008,sit_down,low_risk,65,25,3,"(65, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C002P007R002A008.npy
S006C002P007R002A009,NTU,A009,stand_up,low_risk,67,25,3,"(67, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C002P007R002A009.npy
S006C002P007R002A042,NTU,A042,staggering,moderate_risk,94,25,3,"(94, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C002P007R002A042.npy
S006C002P007R002A043,NTU,A043,falling_down,high_risk,72,25,3,"(72, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C002P007R002A043.npy
S006C002P008R001A008,NTU,A008,sit_down,low_risk,75,25,3,"(75, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C002P008R001A008.npy
S006C002P008R001A009,NTU,A009,stand_up,low_risk,58,25,3,"(58, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C002P008R001A009.npy
S006C002P008R001A042,NTU,A042,staggering,moderate_risk,93,25,3,"(93, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C002P008R001A042.npy
S006C002P008R001A043,NTU,A043,falling_down,high_risk,46,25,3,"(46, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C002P008R001A043.npy
S006C002P008R002A008,NTU,A008,sit_down,low_risk,77,25,3,"(77, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C002P008R002A008.npy
S006C002P008R002A009,NTU,A009,stand_up,low_risk,63,25,3,"(63, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C002P008R002A009.npy
S006C002P008R002A042,NTU,A042,staggering,moderate_risk,104,25,3,"(104, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C002P008R002A042.npy
S006C002P008R002A043,NTU,A043,falling_down,high_risk,63,25,3,"(63, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C002P008R002A043.npy
S006C002P015R001A008,NTU,A008,sit_down,low_risk,62,25,3,"(62, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C002P015R001A008.npy
S006C002P015R001A009,NTU,A009,stand_up,low_risk,50,25,3,"(50, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C002P015R001A009.npy
S006C002P015R001A042,NTU,A042,staggering,moderate_risk,104,25,3,"(104, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C002P015R001A042.npy
S006C002P015R001A043,NTU,A043,falling_down,high_risk,50,25,3,"(50, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C002P015R001A043.npy
S006C002P015R002A008,NTU,A008,sit_down,low_risk,65,25,3,"(65, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C002P015R002A008.npy
S006C002P015R002A009,NTU,A009,stand_up,low_risk,52,25,3,"(52, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C002P015R002A009.npy
S006C002P015R002A042,NTU,A042,staggering,moderate_risk,85,25,3,"(85, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C002P015R002A042.npy
S006C002P015R002A043,NTU,A043,falling_down,high_risk,56,25,3,"(56, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C002P015R002A043.npy
S006C002P016R001A008,NTU,A008,sit_down,low_risk,83,25,3,"(83, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C002P016R001A008.npy
S006C002P016R001A009,NTU,A009,stand_up,low_risk,93,25,3,"(93, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C002P016R001A009.npy
S006C002P016R001A042,NTU,A042,staggering,moderate_risk,112,25,3,"(112, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C002P016R001A042.npy
S006C002P016R001A043,NTU,A043,falling_down,high_risk,70,25,3,"(70, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C002P016R001A043.npy
S006C002P016R002A008,NTU,A008,sit_down,low_risk,90,25,3,"(90, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C002P016R002A008.npy
S006C002P016R002A009,NTU,A009,stand_up,low_risk,72,25,3,"(72, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C002P016R002A009.npy
S006C002P016R002A042,NTU,A042,staggering,moderate_risk,110,25,3,"(110, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C002P016R002A042.npy
S006C002P016R002A043,NTU,A043,falling_down,high_risk,56,25,3,"(56, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C002P016R002A043.npy
S006C002P017R001A008,NTU,A008,sit_down,low_risk,73,25,3,"(73, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C002P017R001A008.npy
S006C002P017R001A009,NTU,A009,stand_up,low_risk,70,25,3,"(70, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C002P017R001A009.npy
S006C002P017R001A042,NTU,A042,staggering,moderate_risk,104,25,3,"(104, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C002P017R001A042.npy
S006C002P017R001A043,NTU,A043,falling_down,high_risk,69,25,3,"(69, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C002P017R001A043.npy
S006C002P017R002A008,NTU,A008,sit_down,low_risk,80,25,3,"(80, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C002P017R002A008.npy
S006C002P017R002A009,NTU,A009,stand_up,low_risk,65,25,3,"(65, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C002P017R002A009.npy
S006C002P017R002A042,NTU,A042,staggering,moderate_risk,121,25,3,"(121, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C002P017R002A042.npy
S006C002P017R002A043,NTU,A043,falling_down,high_risk,59,25,3,"(59, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C002P017R002A043.npy
S006C002P019R001A008,NTU,A008,sit_down,low_risk,84,25,3,"(84, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C002P019R001A008.npy
S006C002P019R001A009,NTU,A009,stand_up,low_risk,70,25,3,"(70, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C002P019R001A009.npy
S006C002P019R001A042,NTU,A042,staggering,moderate_risk,81,25,3,"(81, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C002P019R001A042.npy
S006C002P019R001A043,NTU,A043,falling_down,high_risk,68,25,3,"(68, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C002P019R001A043.npy
S006C002P019R002A008,NTU,A008,sit_down,low_risk,91,25,3,"(91, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C002P019R002A008.npy
S006C002P019R002A009,NTU,A009,stand_up,low_risk,63,25,3,"(63, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C002P019R002A009.npy
S006C002P019R002A042,NTU,A042,staggering,moderate_risk,89,25,3,"(89, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C002P019R002A042.npy
S006C002P019R002A043,NTU,A043,falling_down,high_risk,70,25,3,"(70, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C002P019R002A043.npy
S006C002P022R001A008,NTU,A008,sit_down,low_risk,76,25,3,"(76, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C002P022R001A008.npy
S006C002P022R001A009,NTU,A009,stand_up,low_risk,83,25,3,"(83, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C002P022R001A009.npy
S006C002P022R001A042,NTU,A042,staggering,moderate_risk,148,25,3,"(148, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C002P022R001A042.npy
S006C002P022R001A043,NTU,A043,falling_down,high_risk,77,25,3,"(77, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C002P022R001A043.npy
S006C002P022R002A008,NTU,A008,sit_down,low_risk,69,25,3,"(69, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C002P022R002A008.npy
S006C002P022R002A009,NTU,A009,stand_up,low_risk,71,25,3,"(71, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C002P022R002A009.npy
S006C002P022R002A042,NTU,A042,staggering,moderate_risk,132,25,3,"(132, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C002P022R002A042.npy
S006C002P022R002A043,NTU,A043,falling_down,high_risk,84,25,3,"(84, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C002P022R002A043.npy
S006C002P023R001A008,NTU,A008,sit_down,low_risk,80,25,3,"(80, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C002P023R001A008.npy
S006C002P023R001A009,NTU,A009,stand_up,low_risk,77,25,3,"(77, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C002P023R001A009.npy
S006C002P023R001A042,NTU,A042,staggering,moderate_risk,96,25,3,"(96, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C002P023R001A042.npy
S006C002P023R001A043,NTU,A043,falling_down,high_risk,69,25,3,"(69, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C002P023R001A043.npy
S006C002P023R002A008,NTU,A008,sit_down,low_risk,59,25,3,"(59, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C002P023R002A008.npy
S006C002P023R002A009,NTU,A009,stand_up,low_risk,69,25,3,"(69, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C002P023R002A009.npy
S006C002P023R002A042,NTU,A042,staggering,moderate_risk,88,25,3,"(88, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C002P023R002A042.npy
S006C002P023R002A043,NTU,A043,falling_down,high_risk,72,25,3,"(72, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C002P023R002A043.npy
S006C002P024R001A008,NTU,A008,sit_down,low_risk,67,25,3,"(67, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C002P024R001A008.npy
S006C002P024R001A009,NTU,A009,stand_up,low_risk,61,25,3,"(61, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C002P024R001A009.npy
S006C002P024R001A042,NTU,A042,staggering,moderate_risk,90,25,3,"(90, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C002P024R001A042.npy
S006C002P024R001A043,NTU,A043,falling_down,high_risk,81,25,3,"(81, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C002P024R001A043.npy
S006C002P024R002A008,NTU,A008,sit_down,low_risk,77,25,3,"(77, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C002P024R002A008.npy
S006C002P024R002A009,NTU,A009,stand_up,low_risk,66,25,3,"(66, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C002P024R002A009.npy
S006C002P024R002A042,NTU,A042,staggering,moderate_risk,85,25,3,"(85, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C002P024R002A042.npy
S006C002P024R002A043,NTU,A043,falling_down,high_risk,86,25,3,"(86, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C002P024R002A043.npy
S006C003P001R001A008,NTU,A008,sit_down,low_risk,67,25,3,"(67, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C003P001R001A008.npy
S006C003P001R001A009,NTU,A009,stand_up,low_risk,51,25,3,"(51, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C003P001R001A009.npy
S006C003P001R001A042,NTU,A042,staggering,moderate_risk,102,25,3,"(102, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C003P001R001A042.npy
S006C003P001R001A043,NTU,A043,falling_down,high_risk,49,25,3,"(49, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C003P001R001A043.npy
S006C003P001R002A008,NTU,A008,sit_down,low_risk,69,25,3,"(69, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C003P001R002A008.npy
S006C003P001R002A009,NTU,A009,stand_up,low_risk,48,25,3,"(48, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C003P001R002A009.npy
S006C003P001R002A042,NTU,A042,staggering,moderate_risk,104,25,3,"(104, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C003P001R002A042.npy
S006C003P001R002A043,NTU,A043,falling_down,high_risk,46,25,3,"(46, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C003P001R002A043.npy
S006C003P007R001A008,NTU,A008,sit_down,low_risk,82,25,3,"(82, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C003P007R001A008.npy
S006C003P007R001A009,NTU,A009,stand_up,low_risk,79,25,3,"(79, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C003P007R001A009.npy
S006C003P007R001A042,NTU,A042,staggering,moderate_risk,99,25,3,"(99, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C003P007R001A042.npy
S006C003P007R001A043,NTU,A043,falling_down,high_risk,79,25,3,"(79, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C003P007R001A043.npy
S006C003P007R002A008,NTU,A008,sit_down,low_risk,65,25,3,"(65, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C003P007R002A008.npy
S006C003P007R002A009,NTU,A009,stand_up,low_risk,67,25,3,"(67, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C003P007R002A009.npy
S006C003P007R002A042,NTU,A042,staggering,moderate_risk,94,25,3,"(94, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C003P007R002A042.npy
S006C003P007R002A043,NTU,A043,falling_down,high_risk,71,25,3,"(71, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C003P007R002A043.npy
S006C003P008R001A008,NTU,A008,sit_down,low_risk,74,25,3,"(74, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C003P008R001A008.npy
S006C003P008R001A009,NTU,A009,stand_up,low_risk,57,25,3,"(57, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C003P008R001A009.npy
S006C003P008R001A042,NTU,A042,staggering,moderate_risk,93,25,3,"(93, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C003P008R001A042.npy
S006C003P008R001A043,NTU,A043,falling_down,high_risk,46,25,3,"(46, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C003P008R001A043.npy
S006C003P008R002A008,NTU,A008,sit_down,low_risk,77,25,3,"(77, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C003P008R002A008.npy
S006C003P008R002A009,NTU,A009,stand_up,low_risk,63,25,3,"(63, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C003P008R002A009.npy
S006C003P008R002A042,NTU,A042,staggering,moderate_risk,105,25,3,"(105, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C003P008R002A042.npy
S006C003P008R002A043,NTU,A043,falling_down,high_risk,63,25,3,"(63, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C003P008R002A043.npy
S006C003P015R001A008,NTU,A008,sit_down,low_risk,62,25,3,"(62, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C003P015R001A008.npy
S006C003P015R001A009,NTU,A009,stand_up,low_risk,50,25,3,"(50, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C003P015R001A009.npy
S006C003P015R001A042,NTU,A042,staggering,moderate_risk,104,25,3,"(104, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C003P015R001A042.npy
S006C003P015R001A043,NTU,A043,falling_down,high_risk,49,25,3,"(49, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C003P015R001A043.npy
S006C003P015R002A008,NTU,A008,sit_down,low_risk,65,25,3,"(65, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C003P015R002A008.npy
S006C003P015R002A009,NTU,A009,stand_up,low_risk,52,25,3,"(52, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C003P015R002A009.npy
S006C003P015R002A042,NTU,A042,staggering,moderate_risk,85,25,3,"(85, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C003P015R002A042.npy
S006C003P015R002A043,NTU,A043,falling_down,high_risk,56,25,3,"(56, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C003P015R002A043.npy
S006C003P016R001A008,NTU,A008,sit_down,low_risk,83,25,3,"(83, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C003P016R001A008.npy
S006C003P016R001A009,NTU,A009,stand_up,low_risk,93,25,3,"(93, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C003P016R001A009.npy
S006C003P016R001A042,NTU,A042,staggering,moderate_risk,112,25,3,"(112, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C003P016R001A042.npy
S006C003P016R001A043,NTU,A043,falling_down,high_risk,70,25,3,"(70, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C003P016R001A043.npy
S006C003P016R002A008,NTU,A008,sit_down,low_risk,90,25,3,"(90, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C003P016R002A008.npy
S006C003P016R002A009,NTU,A009,stand_up,low_risk,73,25,3,"(73, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C003P016R002A009.npy
S006C003P016R002A042,NTU,A042,staggering,moderate_risk,110,25,3,"(110, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C003P016R002A042.npy
S006C003P016R002A043,NTU,A043,falling_down,high_risk,56,25,3,"(56, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C003P016R002A043.npy
S006C003P017R001A008,NTU,A008,sit_down,low_risk,73,25,3,"(73, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C003P017R001A008.npy
S006C003P017R001A009,NTU,A009,stand_up,low_risk,70,25,3,"(70, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S006C003P017R001A009.npy
S006C003P017R001A042,NTU,A042,staggering,moderate_risk,104,25,3,"(104, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S006C003P017R001A042.npy
S006C003P017R001A043,NTU,A043,falling_down,high_risk,69,25,3,"(69, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S006C003P017R001A043.npy
S006C003P017R002A008,NTU,A008,sit_down,low_risk,79,25,3,"(79, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S006C003P017R002A008.npy
